imageID,range0,range1,range2,range3,range4,range5,range6,range7,range8,range9,range10,range11,range12,range13,range14,range15,range16,range17,range18,range19,range20,range21,range22,range23,range24,range25,range26,range27,range28,range29,range30,range31,range32,range33,range34,range35,range36,range37,range38,range39,range40,range41,range42,range43,range44,range45,range46,range47,range48,range49,range50,range51,range52,range53,range54,range55,range56,range57,range58,range59,range60,range61,range62,range63,grayscale,contrast
1,0.15971898355754857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1767085201793722,0.27309417040358747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1671270553064275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22335127055306428,135.0656,210.259
10,0.29499293062259274,0.19210179903466432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17643865893098012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15608860286350412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18037800854825867,121.7222,215.47299999999998
100,0.29676276276276276,0,0,0,0,0.2518738738738739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2121021021021021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11384384384384384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1254174174174174,129.72039999999998,209.596
101,0,0.16776155717761557,0.3236284436072522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17687387175260968,0,0,0.27454673887449965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057189388588022916,129.4972,176.91699999999997
102,0.16568506730668892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1652460955163658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053408466381439354,0,0,0,0,0,0.21928971442484957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3963706563706564,139.375,192.26099999999997
103,0.13215616045845271,0,0,0,0,0,0.180868553008596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1953080229226361,0,0.13887535816618912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3527919054441261,127.2228,187.73299999999998
104,0.3130833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17911666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1177,130.64119999999997,182.21699999999998
105,0.04327067669172932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11588554720133667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17710108604845448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1285672514619883,130.5674,193.075
106,0.1402994923857868,0.30949238578680205,0,0,0,0,0.281994923857868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21773096446700507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05048223350253807,107.37280000000001,169.618
107,0,0.23511180124223602,0,0,0,0,0.2408136645962733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13132919254658385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2712608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.65239999999999,163.776
108,0,0.1803331964969896,0,0,0,0,0.2876593166002033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23691502463054187,0.22372986550942217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07136259676284307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.95939999999999,138.87099999999998
109,0.23302385836122205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15135485263953363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1650518190650977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29991633380114435,0,0,0,0,0.15065313613300227,137.4118,192.11799999999997
11,0.4175384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12596068376068376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1334188034188034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19937094017094018,0,0,0,0.1237111111111111,132.74079999999998,228.26199999999997
110,0.21606578569376617,0,0,0,0,0.26247845446710716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2213264866417696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2042696064349325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09585966676242459,122.7096,187.76
111,0.2295644152093695,0.21015411920423552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20095409513877746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21154038986042034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14778698058719716,122.94419999999998,209.22899999999998
