imageID,range0,range1,range2,range3,range4,range5,range6,range7,range8,range9,range10,range11,range12,range13,range14,range15,range16,range17,range18,range19,range20,range21,range22,range23,range24,range25,range26,range27,range28,range29,range30,range31,range32,range33,range34,range35,range36,range37,range38,range39,range40,range41,range42,range43,range44,range45,range46,range47,range48,range49,range50,range51,range52,range53,range54,range55,range56,range57,range58,range59,range60,range61,range62,range63,grayscale,contrast
1,0.23004484304932735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341118086696562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1974828101644245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2313542600896861,144.87199999999999,197.003
10,0.3674418604651163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1970064843254839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2179740952009491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21757756000845074,121.74499999999998,202.88599999999997
100,0,0.3736936936936937,0,0,0,0,0.33278078078078077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15836636636636636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13515915915915916,134.517,201.998
101,0,0.21329173534259477,0.3772780786437485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34994113491876616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05948905109489051,133.58575,171.454
102,0.17634630769765905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1724359108142892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2173237329994087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4338940484886431,141.79975,186.941
103,0.1636335959885387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219740329512894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2104727793696275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40615329512893983,125.21775,175.249
104,0.3233916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21950833333333333,119.701,165.98899999999998
105,0.12820802005012533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5545697577276525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13264411027568923,148.03125,160.733
106,0,0.33672081218274114,0,0,0,0,0.33211675126903556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27746700507614214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053695431472081216,116.83849999999998,157.06199999999998
107,0,0.16809316770186336,0,0,0,0,0.3147701863354037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22435403726708075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29278260869565215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.33375,154.62300000000002
