imageID,range0,range1,range2,range3,range4,range5,range6,range7,range8,range9,range10,range11,range12,range13,range14,range15,range16,range17,range18,range19,range20,range21,range22,range23,range24,range25,range26,range27,range28,range29,range30,range31,range32,range33,range34,range35,range36,range37,range38,range39,range40,range41,range42,range43,range44,range45,range46,range47,range48,range49,range50,range51,range52,range53,range54,range55,range56,range57,range58,range59,range60,range61,range62,range63,grayscale,contrast
1,0.15804484304932737,0,0,0,0,0.17256203288490285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27585650224215247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16868759342301942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2248490284005979,134.30259999999998,209.558
10,0.3396811467017698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1949880551898981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05944777599011912,0,0,0.18415809403084524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22172492808736777,119.52779999999998,204.18499999999997
100,0.29676276276276276,0,0,0,0,0.2518918918918919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21208408408408408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11384384384384384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1254174174174174,129.72039999999998,209.596
101,0,0.17249038537006514,0.3183148889412134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17406012086963346,0,0,0.2766344870889255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05850011773016247,129.3136,174.917
102,0.16568506730668892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1652460955163658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053408466381439354,0,0,0,0,0,0.21928971442484957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3963706563706564,139.375,192.26099999999997
103,0.14251969914040113,0,0,0,0,0,0.1995791547277937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1618570916905444,0.22877507163323782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2672689828080229,132.8808,193.54799999999997
104,0.17951666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1579125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26043333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213975,106.72379999999998,176.98899999999998
105,0.04327067669172932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11587719298245613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5367460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1268671679197995,130.7446,193.96099999999998
106,0.11742131979695432,0.3125736040609137,0,0,0,0,0.28318781725888326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23538578680203046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051431472081218274,105.41399999999999,171.7
107,0,0.12927950310559005,0.24140993788819876,0,0,0,0.2321614906832298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12745962732919255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26968944099378883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.02959999999999,163.06400000000002
