"imageID","range0","range1","range2","range3","range4","range5","range6","range7","range8","range9","range10","range11","range12","range13","range14","range15","range16","range17","range18","range19","range20","range21","range22","range23","range24","range25","range26","range27","range28","range29","range30","range31","range32","range33","range34","range35","range36","range37","range38","range39","range40","range41","range42","range43","range44","range45","range46","range47","range48","range49","range50","range51","range52","range53","range54","range55","range56","range57","range58","range59","range60","range61","range62","range63","grayscale","contrast","Style"
63,0.31393815118599,0.254561072932831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196430946575039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144829306140545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902405231655952,119.1646,192.455,"Cat12"
65,0.142194036493102,0,0,0,0,0.238854027592345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27485536270583,0,0,0,0.23239652870494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111700044503783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.49,178.476,"Cat4"
68,0.270294294294294,0.311003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171459459459459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157591591591592,0,0,0,0,0,0.0896516516516516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.374,189.002,"Cat12"
69,0.170904674024799,0,0,0,0,0.230355700714515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217970880997402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239725805248426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141042939014858,127.8742,178.037,"Cat5"
80,0.116522916666667,0,0,0,0,0.129863194444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198957638888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309823611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244832638888889,126.9022,196.847,"Cat13"
82,0.236390110146707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112191525842112,0.231905184434022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212197530205283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207315649371877,120.4586,210.116,"Cat2"
92,0.100424444444444,0,0,0,0,0,0.134788888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125491111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322528888888889,146.5522,197.029,"Cat6"
95,0,0.0574510188087774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603271943573668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187221786833856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571483150470219,163.5826,184.479,"Cat3"
98,0.232291261920357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218117832521065,0,0,0,0,0.199167379020172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07420762236753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.8074,195.379,"Cat12"
99,0.253292682926829,0.241329737335835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209136960600375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189233114446529,0,0,0,0,0.107007504690432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.2246,193.943,"Cat12"
